"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.833008945E1,3.516425918E1,1.368850216E2,4.804015974E0,4.341299843E1,2.085000038E1,1.592578592E2,8.699923273E-1,1.675584720E1,4.864403142E0,-1.000000000E0
2.933007658E1,3.516407311E1,1.368850723E2,4.843566759E0,4.345265397E1,2.085000038E1,1.610156679E2,8.923287960E-1,1.679380287E1,4.731703561E0,-1.000000000E0
3.033006477E1,3.516388242E1,1.368851495E2,4.738159043E0,4.334741531E1,2.085000038E1,1.606641061E2,9.108002891E-1,1.670543190E1,5.034816599E0,-1.000000000E0
3.133005369E1,3.516372004E1,1.368851924E2,4.279051366E0,4.288839565E1,2.046999931E1,1.631250376E2,9.328173394E-1,1.660313541E1,5.362529989E0,-1.000000000E0
3.233004344E1,3.516352510E1,1.368852348E2,4.046203219E0,4.265563121E1,2.077000046E1,1.648828467E2,9.550879430E-1,1.661982792E1,5.310569939E0,-1.000000000E0
3.333003366E1,3.516332657E1,1.368852672E2,4.414369242E0,4.302385618E1,2.136000061E1,1.676953413E2,9.770227312E-1,1.660772864E1,5.348287815E0,-1.000000000E0
3.433002532E1,3.516313288E1,1.368853129E2,4.351258887E0,4.296083754E1,2.136000061E1,1.675912781E2,9.979989670E-1,1.669119170E1,5.081825738E0,-1.000000000E0
3.533001673E1,3.516294820E1,1.368853600E2,1.701037602E0,4.031071215E1,2.241271360E1,1.673454895E2,1.031427349E0,1.681495905E1,6.372354257E0,-1.000000000E0
3.633000851E1,3.516265475E1,1.368854399E2,8.032775288E-1,3.941311680E1,2.395031221E1,1.676069336E2,1.060430775E0,1.576687059E1,7.471721691E0,-1.000000000E0
3.733000112E1,3.516239732E1,1.368854913E2,2.462178553E-1,3.885615603E1,2.447876696E1,1.675648193E2,1.085095404E0,1.514196225E1,8.668437717E0,-1.000000000E0
3.832999432E1,3.516218437E1,1.368855672E2,-7.914428227E-2,3.853095685E1,2.474105311E1,1.689972534E2,1.110713871E0,1.502947253E1,8.862042015E0,-1.000000000E0
3.932998776E1,3.516195935E1,1.368856277E2,-6.615448929E-2,3.854407089E1,2.557957654E1,1.678522949E2,1.138146795E0,1.486789970E1,9.130519791E0,-1.000000000E0
4.032998168E1,3.516171833E1,1.368856921E2,-8.846151680E-1,3.772574228E1,2.621215164E1,1.675652618E2,1.161315804E0,1.493057733E1,9.027662696E0,-1.000000000E0
4.132997572E1,3.516151216E1,1.368857290E2,-1.542621990E0,3.706780400E1,2.586199332E1,1.675007324E2,1.193438899E0,1.489170084E1,9.091648876E0,-1.000000000E0
4.232997000E1,3.516122983E1,1.368858039E2,-1.092739000E0,3.751784011E1,2.740532123E1,1.673453064E2,1.222060438E0,1.467631134E1,9.435397122E0,-1.000000000E0
4.332996583E1,3.516098184E1,1.368858882E2,-1.610199767E0,3.700055879E1,2.772875089E1,1.671870728E2,1.250114963E0,1.470457184E1,9.391293852E0,-1.000000000E0
4.432996130E1,3.516073476E1,1.368859507E2,-8.710762821E-1,3.773980860E1,2.774609073E1,1.683155212E2,1.276845338E0,1.482629437E1,9.197925237E0,-1.000000000E0
4.532995677E1,3.516050013E1,1.368860147E2,-8.219558988E-1,3.778906024E1,2.758657051E1,1.674110044E2,1.304064660E0,8.117368051E0,1.650983147E0,-1.000000000E0
4.632995260E1,3.516026167E1,1.368860823E2,-7.984302370E-1,3.781272547E1,2.763470182E1,1.668789440E2,1.351284452E0,8.771123737E0,1.864966643E0,-1.000000000E0
4.732994854E1,3.515984634E1,1.368861906E2,-4.989594519E-1,3.811241619E1,3.569107491E1,1.665889463E2,1.386948432E0,7.749532741E0,1.894081451E0,-1.000000000E0
4.832994485E1,3.515953089E1,1.368862615E2,-1.162088588E-1,3.849530612E1,3.404694487E1,1.670714804E2,1.419995125E0,5.515962834E0,2.347630412E0,-1.000000000E0
4.932994246E1,3.515923980E1,1.368863349E2,-9.203795213E-1,3.769128308E1,3.300305465E1,1.675222018E2,1.452560161E0,5.260674542E0,2.490659648E0,-1.000000000E0
5.032993901E1,3.515895510E1,1.368864188E2,-1.582251165E0,3.702958540E1,3.308926898E1,1.673847053E2,1.486747970E0,1.435358316E1,9.919449771E0,-1.000000000E0
5.132993591E1,3.515865725E1,1.368865121E2,-1.503394346E0,3.710863718E1,3.347369072E1,1.684678650E2,1.521284797E0,1.437089513E1,9.894352244E0,-1.000000000E0
5.232993329E1,3.515835272E1,1.368865869E2,-2.083275113E0,3.652890577E1,3.410155738E1,1.682903290E2,1.558061695E0,1.434599996E1,9.930413809E0,-1.000000000E0
5.332993042E1,3.515802556E1,1.368866462E2,-2.148388111E0,3.646390227E1,3.479564154E1,1.680600281E2,1.592983783E0,1.435200304E1,9.921735833E0,-1.000000000E0
5.432992816E1,3.515772133E1,1.368867415E2,-2.058645686E0,3.655384365E1,3.500706839E1,1.692677307E2,1.628137229E0,1.440196157E1,9.849077933E0,-1.000000000E0
5.532992685E1,3.515741137E1,1.368868177E2,-2.494159292E0,3.611848177E1,3.517942273E1,1.686405487E2,1.663195484E0,1.452537191E1,9.666147335E0,-1.000000000E0
5.632992423E1,3.515710224E1,1.368868935E2,-1.464994429E0,3.714779763E1,3.519966645E1,1.704969940E2,1.701774646E0,1.462572176E1,9.513626877E0,-1.000000000E0
5.732992172E1,3.515676194E1,1.368869762E2,-7.297043270E-1,3.788325180E1,3.611776691E1,1.684148712E2,1.741760521E0,1.470819782E1,9.385614000E0,-1.000000000E0
5.832992053E1,3.515640636E1,1.368870418E2,-3.829006227E-1,3.823017654E1,3.703434244E1,1.688982677E2,1.779089847E0,1.481128022E1,9.222082817E0,-1.000000000E0
5.932991922E1,3.515607644E1,1.368871177E2,-1.805123221E-2,3.859517460E1,3.722127935E1,1.691757593E2,1.820157093E0,1.498581272E1,8.935672915E0,-1.000000000E0
6.032991731E1,3.515571465E1,1.368872085E2,3.903625328E-1,3.900376932E1,3.802826201E1,1.691233374E2,1.859314009E0,1.501688688E1,8.883351934E0,-1.000000000E0
6.132991636E1,3.515536677E1,1.368872754E2,6.589650149E-1,3.927249637E1,3.834429055E1,1.696563420E2,1.900340251E0,1.522118600E1,8.528559668E0,-1.000000000E0
6.232991493E1,3.515500422E1,1.368873591E2,6.832987638E-1,3.929699379E1,3.901621765E1,1.697067927E2,1.942788886E0,1.523145124E1,8.510213067E0,-1.000000000E0
6.332991421E1,3.515463000E1,1.368874514E2,1.087012607E0,3.970089038E1,3.974696272E1,1.696844598E2,1.988637548E0,1.500122254E1,8.909778650E0,-1.000000000E0
6.432991302E1,3.515422403E1,1.368875396E2,1.431675169E0,4.004572230E1,4.076401483E1,1.699246363E2,2.034723441E0,1.483703245E1,9.180593738E0,-1.000000000E0
6.532991135E1,3.515381517E1,1.368876226E2,1.595370584E0,4.020957417E1,4.186478595E1,1.700156167E2,2.079910063E0,1.472499584E1,9.359237733E0,-1.000000000E0
