操作内容,Emacs,Vim
次の文字へ移動,{kbd}`C-f`,"{kbd}`l`, {kbd}`SPC`"
前の文字へ移動,{kbd}`C-b`,{kbd}`h`
次の単語へ移動,{kbd}`M-f`,"{kbd}`w`, {kbd}`e`"
前の単語へ移動,{kbd}`M-b`,{kbd}`b`
行頭へ移動,{kbd}`C-a`,{kbd}`0`
文頭（行頭にある文字）へ移動,,{kbd}`^`
行末へ移動,{kbd}`C-e`,{kbd}`$`
タブ（インデント？）,{kbd}`C-i`,
画面内の移動（上−中−下）,{kbd}`C-l`,
