操作内容,Emacs,Vim
前方検索,{kbd}`C-s`,"{kbd}`/文字`, {kbd}`n`, {kbd}`C-i`"
後方検索,{kbd}`C-r`,"{kbd}`?文字`, {kbd}`N`, {kbd}`C-o`"
マーカーのセット,{kbd}`C-@`,{kbd}`v`
現在行の最初の文字を置換（old -> new）,{kbd}`M-%`,{kbd}`:s/old/new`
現在行のすべての文字を置換（old -> new）,,{kbd}`:s/old/new/g`
ファイル全体のすべての文字を、確認しながら置換,,{kbd}`:%s/old/new/gc`
